Frequenz $f$ [Hz], Spannung 1 $U_1$ [V], DIV 1 $\Delta U_1$ [V], Spannung 2 $U_2$ [V], DIV 2 $\Delta U_2$ [V]
herz,volt,volt,volt,volt
 102.507, 21.9, 10, 1.42 , 0.5
 125.697, 22.1, 10, 1.70 , 0.5
 140.712, 21.9, 10, 1.92 , 0.5
 159.106, 21.7, 10, 2.15 , 0.5
 180.130, 21.5, 10, 2.40 , 0.5
 213.006, 21.7, 10, 2.82 , 0.5
 296.530, 22.0, 10, 3.94 , 1
 404.871, 21.2,  5, 5.18 , 1
 503.389, 21.1,  5, 6.30 , 1
 720.340, 20.8,  5, 8.66 , 2
1001.764, 21.1,  5, 10.9 , 2
1509.481, 21.0,  5, 14.3 , 5
2091.003, 20.8,  5, 17.1 , 5
2709.540, 21.1,  5, 17.8 , 5
3171.630, 21.1,  5, 18.6 , 5
4124.430, 21.1,  5, 19.3 , 5
5000.430, 21.1,  5, 19.9 , 5
