Frequenz $f$ [Hz], Spannung 1 $U_1$ [V], DIV 1 $\Delta U_1$ [V], Spannung 2 $U_2$ [V], DIV 2 $\Delta U_2$ [V]
herz,volt,volt,volt,volt
 100.078 , 4.32, 1, 4.26, 1
 204.064 , 4.34, 1, 4.14, 1
 301.579 , 4.35, 1, 4.12, 1
 409.982 , 4.32, 1, 3.96, 1
 501.685 , 4.31, 1, 3.90, 1
 604.192 , 4.33, 1, 3.80, 1
 702.104 , 4.36, 1, 3.77, 1
 808.769 , 4.29, 1, 3.68, 1
 895.314 , 4.33, 1, 3.55, 1
1004.2973, 4.32, 1, 3.46, 1
1100.6042, 4.30, 1, 3.37, 1
1215.8754, 4.25, 1, 3.26, 1
1326.7339, 4.32, 1, 3.15, 1
1405.5774, 4.29, 1, 3.08, 1
1508.4129, 4.30, 1, 2.99, 1
1602.3728, 4.27, 1, 2.85, 1
1729.0196, 4.26, 1, 2.71, 1
1804.1687, 4.23, 1, 2.68, 1
1903.9238, 4.24, 1, 2.56, 1
2056.3573, 4.33, 1, 2.50, 1
2599.7353, 4.26, 1, 2.15, 1
3063.8572, 4.23, 1, 1.78, 1
2523.4660, 4.28, 1, 1.66, 1
4076.2652, 4.24, 1, 1.46, 1
4491.6845, 4.29, 1, 1.37, 1
5087.5914, 4.23, 1, 1.17, 1
